eng_updated_210129,transivity,TA,TI,AI,II,spelling_regularity,word_order_regularity
be_ashamed,intrans,-,-,akacu,-,-,-
be_dressed,intrans,-,-,aqu,-,-,-
be_few_in_number,intrans,-,-,akôhsihsu,-,-,-
call__something,monotrans,ahuy,-,-,-,-,-
cook,intrans,-,-,aposu,-,-,-
cover,monotrans,-,apqá,-,-,-,-
cover,intrans,-,-,-,apqôsu,-,-
count,intrans,-,-,akisu,-,-,-
eat,monotrans,moh,mic,mitsu,-,-,-
exceed,intrans,-,-,anirá,-,-,-
feed,ditrans,ahsam,-,-,-,-,-
get,monotrans,-,ahtaw,-,-,-,-
give,ditrans,mir/mis,mir/mis,-,-,irregular,-
go,intrans,-,-,ô,-,-,-
grab,monotrans,numun,nimunum,-,-,-,-
have,monotrans,wacôn,wacônum,-,-,-,-
have_an_advantage_over,monotrans,aniruham,-,-,-,-,-
hear,monotrans,putaw,putam,-,-,-,-
help,monotrans,arunamaw,-,-,-,-,-
hold,monotrans,mihkun,mihkunum,-,-,-,-
hunt,intrans,-,-,acá,-,-,-
know,monotrans,wáh,wáhto,-,-,-,-
learn,monotrans,-,nuhtuhtaw,-,-,-,-
lie_upon,monotrans,-,apsun,-,-,-,-
like,monotrans,wurárum,wurárutam,-,-,-,-
listen_to,monotrans,kuhkihtaw,kuhkitam,-,-,-,-
look_at,monotrans,kuhkinaw,kuhkinam,-,-,-,-
paint,monotrans,-,arakunum,-,-,-,-
pay_attention_to,monotrans,kuhkinahsu,kuhkinahsu,-,-,-,-
put_down,monotrans,pon,ponu,-,-,-,-
put__on,monotrans,-,aqunum,-,-,-,-
read,intrans,-,-,akitusu,-,-,-
remember,monotrans,mihqônumaw,mihqôtam,-,-,-,-
resemble,intrans,-,-,-,aquniwôqat,-,-
see,monotrans,náw,nám,-,-,-,-
sit,intrans,-,-,apu,-,-,-
smell_good,intrans,-,-,wuripuqus,wurimoqat,-,-
sneeze,intrans,-,-,anu,-,-,-
stand,intrans,-,-,nipawu,-,-,-
talk,intrans,-,-,kikutok,-,-,-
talk_to,monotrans,kikitokaw,-,-,-,-,-
tell,ditrans,ur,-,-,-,-,-
